Groupe 4_1513094128368_0	Time ; User ; Action ; Current activity ; Object ; Message	
Groupe 4_1513094128368_1	1513094145036 ; Groupe 4 ; OPEN ; NA ; NA ; open activities list	
Groupe 4_1513095222913_1	Time ; User ; Action ; Current activity ; Object ; Message	
Groupe 4_1513095222913_10	1513155273361 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_66f8b509-f345-6554-0efe-028470816c7c_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_11	1513155310104 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_45600344-2798-edaf-8d36-0a609a5b5c69_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_12	1513155320842 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_45600344-2798-edaf-8d36-0a609a5b5c69_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_13	1513155359773 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bcf5c790-7ccd-d102-f6ea-dbfcf8cef9f9_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_14	1513155407455 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bd4450bc-b3ef-45c3-8f6d-9d83baebfa0b_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_15	1513155430997 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_2c384f89-b78e-9c8d-c8be-7c6957bd3498_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_16	1513155497428 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bfce5294-bae0-f535-4609-f9a3f08448a8_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_17	1513155518095 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_a5fd2cbb-704c-bf26-2450-fdca4c944042_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_18	1513155602738 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_45600344-2798-edaf-8d36-0a609a5b5c69_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_19	1513155646493 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_66f8b509-f345-6554-0efe-028470816c7c_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_2	1513150411440 ; Groupe 4 ; OPEN ; NA ; NA ; open activities list	
Groupe 4_1513095222913_20	1513155666849 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_7375fa1a-7280-e23d-ee8f-84b2595849a7_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_21	1513155717644 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_7c7e66c8-6489-9d6b-cf0d-0ab1bc33101f_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_22	1513155755076 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_92346480-8d60-128a-bc26-ebf561ae0250_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_23	1513155768939 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_b82c8944-d213-9c83-b5d9-6fa91aab4c96_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_24	1513155781223 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_3295ceca-0250-6bee-6baf-7033515b6617_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
